"Area","Inhabitants, total, 2018 (HE)","0-2 years, 2018 (HE)","3-6 years, 2018 (HE)","7-12 years, 2018 (HE)","13-15 years, 2018 (HE)","16-17 years, 2018 (HE)","18-19 years, 2018 (HE)","20-24 years, 2018 (HE)","25-29 years, 2018 (HE)","30-34 years, 2018 (HE)","35-39 years, 2018 (HE)","40-44 years, 2018 (HE)","45-49 years, 2018 (HE)","50-54 years, 2018 (HE)","55-59 years, 2018 (HE)","60-64 years, 2018 (HE)","65-69 years, 2018 (HE)","70-74 years, 2018 (HE)","75-79 years, 2018 (HE)","80-84 years, 2018 (HE)","85 years or over, 2018 (HE)","Average floor area, 2018 (RA)"
"Askola",4958,148,275,433,219,135,106,169,216,271,315,370,303,376,351,326,323,265,153,107,97,102.2
"Espoo",283632,9916,15083,22667,10353,6484,6461,17272,20307,21354,22571,21135,18475,19098,16682,14143,12826,12579,7394,4748,4084,79.3
"Hanko",8379,163,238,494,255,171,162,269,289,355,430,471,565,601,621,670,742,850,500,309,224,81.5
"Helsinki",648042,19359,26440,36113,16140,10474,11760,44113,63662,59833,53014,44903,36466,41590,39199,34673,32165,31530,19600,13346,13662,63.3
"Vantaa",228166,7811,10760,16345,7545,4916,5123,14745,17744,17951,17668,16290,14440,15679,14056,12149,11089,10454,6246,4098,3057,72.0
"Hyvinkää",46504,1184,1870,3233,1549,1070,1043,2444,2812,2819,2878,2948,2883,3260,3271,3165,3115,2762,1697,1284,1217,77.4
"Ingå",5403,125,199,402,223,128,113,155,188,225,309,385,371,464,401,388,397,363,247,151,169,108.1
"Järvenpää",43410,1362,2036,3101,1505,913,1087,2588,2951,2940,3072,2880,2560,3031,2929,2809,2555,2320,1252,850,669,76.7
"Karkkila",8778,198,343,641,331,207,189,288,324,422,533,607,545,641,625,656,717,603,347,263,298,83.6
"Kauniainen",9615,220,411,808,445,298,297,477,390,406,503,669,654,766,647,528,479,580,439,324,274,109.8
"Kerava",36254,1067,1567,2572,1194,792,853,2181,2533,2490,2484,2386,2134,2408,2451,2239,2237,2125,1172,771,598,73.9
"Kirkkonummi",39262,1187,2002,3548,1753,1086,995,1627,1775,2099,2667,3093,3043,3187,2545,2317,2153,1916,1112,681,476,96.9
"Lapinjärvi",2665,74,81,185,84,51,49,83,91,136,159,139,162,194,190,212,218,215,124,93,125,97.1
"Loviisa",14891,306,535,903,459,313,266,515,640,717,792,878,927,1071,1156,1218,1255,1207,704,501,528,88.5
"Lohja",46296,1102,1905,3489,1742,1162,1129,1878,2042,2139,2611,3087,3042,3472,3452,3254,3290,3084,1868,1400,1148,88.4
"Myrskylä",1922,38,83,142,66,25,33,77,78,103,123,94,119,122,151,137,159,146,88,67,71,99.4
"Mäntsälä",20686,618,1066,1863,891,566,541,772,848,1086,1357,1469,1452,1518,1478,1332,1280,1057,647,444,401,96.7
"Nurmijärvi",42665,1293,2320,3955,1982,1281,1159,1756,1890,2118,2847,3244,3150,3466,2885,2352,2246,2034,1278,819,590,95.4
"Pornainen",5068,144,255,483,279,173,149,175,178,237,321,391,371,427,348,347,284,206,128,87,85,113.4
"Pukkila",1899,49,83,135,71,51,37,78,75,72,93,125,145,171,155,127,116,126,83,56,51,99.5
"Porvoo",50262,1372,2281,3735,1902,1200,1186,2498,2614,2771,3031,3412,3431,3648,3484,3267,3214,3036,1854,1200,1126,87.1
"Raasepori",27592,652,1018,1807,935,562,547,1143,1330,1464,1456,1659,1726,1956,1981,1993,2008,2067,1347,957,984,87.3
"Sipoo",20666,601,974,1790,850,574,538,946,867,944,1342,1565,1582,1812,1461,1182,1084,1038,648,440,428,102.3
"Siuntio",6134,156,289,549,267,161,140,197,205,275,412,482,487,558,421,395,399,378,166,112,85,114.5
"Tuusula",38664,995,1831,3333,1738,1126,919,1478,1581,1955,2602,3134,2924,3204,2749,2339,2231,2056,1160,733,576,95.0
"Vihti",29211,819,1417,2548,1160,727,724,1152,1271,1590,2024,2260,2011,2206,2053,1800,1869,1605,885,587,503,94.0
"Aura",3984,130,208,327,167,109,90,140,190,225,307,306,254,262,249,279,252,206,126,84,73,92.9
"Kaarina",33458,1097,1648,2725,1256,794,731,1140,1522,1922,2350,2508,2238,2460,2120,2071,2075,2010,1245,859,687,94.0
"Koski Tl",2340,50,91,140,65,56,43,77,78,100,123,118,130,149,205,157,179,191,148,123,117,98.4
"Kustavi",926,15,19,35,17,5,17,33,23,32,29,36,40,84,85,103,112,114,54,38,35,93.3
"Kimitoön",6724,129,219,363,214,122,121,241,238,276,315,354,393,511,447,563,622,603,372,292,329,89.3
"Laitila",8647,251,401,613,288,207,187,374,432,522,508,536,509,546,596,631,583,551,348,289,275,91.5
"Lieto",19831,620,1064,1747,826,527,447,658,795,1139,1484,1465,1363,1557,1307,1082,1121,1099,636,477,417,103.7
"Loimaa",16032,364,578,983,497,357,344,626,728,767,885,842,823,1052,1185,1291,1329,1251,787,601,742,89.8
"Pargas",15217,350,622,1065,557,336,334,531,539,634,839,976,1024,1070,1078,1120,1258,1182,677,509,516,97.3
"Marttila",2018,48,100,141,54,43,39,66,73,98,147,127,115,139,144,140,161,152,108,57,66,99.1
"Masku",9554,287,516,878,430,262,221,263,348,529,637,756,688,771,677,563,552,515,293,201,167,114.6
"Mynämäki",7766,202,294,516,266,176,184,285,301,404,451,451,473,578,628,561,577,561,322,265,271,99.5
"Naantali",19245,424,741,1336,694,445,417,695,706,852,1093,1264,1280,1515,1499,1492,1530,1390,844,533,495,92.2
"Nousiainen",4733,133,255,413,206,129,99,142,192,260,341,404,272,339,313,318,305,241,149,98,124,111.5
"Oripää",1364,32,61,102,68,35,30,41,61,67,77,73,84,74,97,105,91,95,49,55,67,98.5
"Paimio",10832,370,580,858,405,236,226,364,474,681,809,758,672,676,703,712,721,680,367,257,283,95.8
"Pyhäranta",2028,42,82,132,53,52,37,80,78,87,117,105,118,166,155,158,186,152,90,72,66,103.5
"Pöytyä",8333,232,426,645,333,186,173,272,363,456,496,502,500,564,589,533,618,546,346,273,280,99.1
