"Area","Inhabitants, total, 2018 (HE)","0-2 years, 2018 (HE)","3-6 years, 2018 (HE)","7-12 years, 2018 (HE)","13-15 years, 2018 (HE)","16-17 years, 2018 (HE)","18-19 years, 2018 (HE)","20-24 years, 2018 (HE)","25-29 years, 2018 (HE)","30-34 years, 2018 (HE)","35-39 years, 2018 (HE)","40-44 years, 2018 (HE)","45-49 years, 2018 (HE)","50-54 years, 2018 (HE)","55-59 years, 2018 (HE)","60-64 years, 2018 (HE)","65-69 years, 2018 (HE)","70-74 years, 2018 (HE)","75-79 years, 2018 (HE)","80-84 years, 2018 (HE)","85 years or over, 2018 (HE)","Average floor area, 2018 (RA)"
"MK01 Uusimaa",1671024,50959,75362,115274,53938,34646,35606,99076,126901,126772,125614,118076,103968,114926,105742,94018,88451,84602,51139,34428,31526,74.4
"MK02 Southwest Finland",478582,12443,19212,30176,14664,9675,10392,30219,31301,29563,30169,29777,27546,32014,30950,30832,31954,30626,18756,14057,14256,81.6
"MK04 Satakunta",218624,5371,8575,13775,6861,4484,4569,10958,11409,11781,12466,12380,12108,14752,15249,15807,16932,15663,10140,7972,7372,86.0
"MK05 Kanta-Häme",171364,4176,6795,11751,5893,3741,3755,7960,8579,9156,10108,10544,10165,11959,12293,12251,12584,11704,7229,5440,5281,83.1
"MK06 Pirkanmaa",515095,14255,22495,34598,16353,10507,11101,33195,35499,34464,34513,32767,29366,32487,32136,31476,32279,30242,19077,14294,13991,78.0
"MK07 Päijät-Häme",200629,4871,7737,12564,6441,4189,4372,10199,10958,10837,11465,11768,11488,13758,13831,14193,15610,14626,9142,6695,5885,78.8
"MK08 Kymenlaakso",173388,3733,6212,10120,5339,3531,3594,7860,8511,8846,9602,9933,10007,12253,12985,13349,13848,13080,8308,6076,6201,80.6
"MK09 South Karelia",128756,2801,4566,7578,3728,2552,2613,7330,6768,6697,7089,7333,7265,8769,9403,9797,10047,8912,6184,4734,4590,79.2
"MK10 South Savo",144615,2970,4698,7993,4276,2882,2932,6615,6496,6904,6872,7204,7554,9924,11348,12439,12796,11458,7633,6036,5585,81.7
"MK11 North Savo",245602,6164,9757,15259,7695,5227,5331,14108,14442,14188,14145,13144,13018,16260,17998,18615,18536,15758,10243,8033,7681,79.4
"MK12 North Karelia",162240,3871,6145,9692,4777,3262,3491,10065,9653,9014,8924,8358,7953,10060,12222,13273,13033,10894,7026,5427,5100,79.1
"MK13 Central Finland",275521,7286,11801,19008,8972,5795,6158,18407,17646,16343,16546,16097,14701,16735,18648,18571,18909,16964,10979,8201,7754,78.8
"MK14 South Ostrobothnia",189715,5310,8434,13498,6736,4439,4389,9438,9999,10299,10880,10504,10089,12138,13005,13721,13912,12330,7801,6262,6531,90.6
"MK15 Ostrobothnia",180794,5555,8382,13182,6164,4039,4099,11332,11291,10734,11186,10581,10230,11048,10777,11127,11449,10919,7214,5538,5947,88.7
"MK16 Central Ostrobothnia",68437,2269,3547,5432,2537,1678,1626,3602,3720,4028,4016,3918,3605,4134,4336,4373,4711,4307,2665,1971,1962,92.6
"MK17 North Ostrobothnia",412161,13398,21700,34644,16560,10328,10330,25612,26081,25204,26360,25272,22014,24611,25450,25912,25001,20447,13558,10363,9316,84.5
"MK18 Kainuu",73061,1658,2690,4461,2232,1472,1522,3452,3559,3678,3827,3603,3693,4864,5879,6393,6229,5119,3454,2679,2597,82.2
"MK19 Lapland",178522,4408,7078,11711,5513,3663,3826,9655,10285,10084,10088,9250,8852,11645,14011,14497,13967,11154,7517,6082,5236,82.2
"MK21 Åland",29789,916,1332,2043,986,625,604,1293,1774,1804,1881,1856,1956,2212,1970,1917,1960,1855,1194,801,810,94.8
